GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4726,0.0037
0400000US02,02,Alaska,0.4232,0.0107
0400000US04,04,Arizona,0.4608,0.0039
0400000US05,05,Arkansas,0.4632,0.0055
0400000US06,06,California,0.4822,0.0016
0400000US08,08,Colorado,0.4579,0.0039
0400000US09,09,Connecticut,0.4915,0.0060
0400000US10,10,Delaware,0.4356,0.0083
0400000US11,11,District of Columbia,0.5343,0.0126
0400000US12,12,Florida,0.4828,0.0026
0400000US13,13,Georgia,0.4809,0.0031
0400000US15,15,Hawaii,0.4257,0.0064
0400000US16,16,Idaho,0.4302,0.0089
0400000US17,17,Illinois,0.4716,0.0031
0400000US18,18,Indiana,0.4417,0.0035
0400000US19,19,Iowa,0.4328,0.0048
0400000US20,20,Kansas,0.4496,0.0050
0400000US21,21,Kentucky,0.4667,0.0040
0400000US22,22,Louisiana,0.4859,0.0049
0400000US23,23,Maine,0.4450,0.0070
0400000US24,24,Maryland,0.4473,0.0034
0400000US25,25,Massachusetts,0.4813,0.0040
0400000US26,26,Michigan,0.4624,0.0027
0400000US27,27,Minnesota,0.4441,0.0033
0400000US28,28,Mississippi,0.4870,0.0067
0400000US29,29,Missouri,0.4608,0.0038
0400000US30,30,Montana,0.4502,0.0107
0400000US31,31,Nebraska,0.4339,0.0050
0400000US32,32,Nevada,0.4516,0.0075
0400000US33,33,New Hampshire,0.4298,0.0074
0400000US34,34,New Jersey,0.4718,0.0030
0400000US35,35,New Mexico,0.4713,0.0063
0400000US36,36,New York,0.5009,0.0028
0400000US37,37,North Carolina,0.4691,0.0033
0400000US38,38,North Dakota,0.4597,0.0105
0400000US39,39,Ohio,0.4615,0.0029
0400000US40,40,Oklahoma,0.4643,0.0056
0400000US41,41,Oregon,0.4565,0.0048
0400000US42,42,Pennsylvania,0.4642,0.0021
0400000US44,44,Rhode Island,0.4647,0.0082
0400000US45,45,South Carolina,0.4684,0.0045
0400000US46,46,South Dakota,0.4335,0.0114
0400000US47,47,Tennessee,0.4732,0.0042
0400000US48,48,Texas,0.4767,0.0021
0400000US49,49,Utah,0.4244,0.0070
0400000US50,50,Vermont,0.4392,0.0088
0400000US51,51,Virginia,0.4661,0.0028
0400000US53,53,Washington,0.4498,0.0036
0400000US54,54,West Virginia,0.4638,0.0073
0400000US55,55,Wisconsin,0.4401,0.0042
0400000US56,56,Wyoming,0.4166,0.0117
0400000US72,72,Puerto Rico,0.5325,0.0077
