GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4735,0.0044
0400000US02,02,Alaska,0.4099,0.0115
0400000US04,04,Arizona,0.4600,0.0051
0400000US05,05,Arkansas,0.4684,0.0061
0400000US06,06,California,0.4812,0.0020
0400000US08,08,Colorado,0.4588,0.0050
0400000US09,09,Connecticut,0.4859,0.0051
0400000US10,10,Delaware,0.4404,0.0114
0400000US11,11,District of Columbia,0.5338,0.0151
0400000US12,12,Florida,0.4811,0.0037
0400000US13,13,Georgia,0.4770,0.0046
0400000US15,15,Hawaii,0.4301,0.0084
0400000US16,16,Idaho,0.4320,0.0087
0400000US17,17,Illinois,0.4718,0.0035
0400000US18,18,Indiana,0.4461,0.0053
0400000US19,19,Iowa,0.4340,0.0054
0400000US20,20,Kansas,0.4442,0.0057
0400000US21,21,Kentucky,0.4709,0.0065
0400000US22,22,Louisiana,0.4836,0.0056
0400000US23,23,Maine,0.4509,0.0089
0400000US24,24,Maryland,0.4466,0.0042
0400000US25,25,Massachusetts,0.4771,0.0034
0400000US26,26,Michigan,0.4612,0.0029
0400000US27,27,Minnesota,0.4436,0.0041
0400000US28,28,Mississippi,0.4735,0.0060
0400000US29,29,Missouri,0.4611,0.0051
0400000US30,30,Montana,0.4351,0.0094
0400000US31,31,Nebraska,0.4467,0.0094
0400000US32,32,Nevada,0.4526,0.0091
0400000US33,33,New Hampshire,0.4347,0.0092
0400000US34,34,New Jersey,0.4694,0.0034
0400000US35,35,New Mexico,0.4821,0.0090
0400000US36,36,New York,0.5033,0.0031
0400000US37,37,North Carolina,0.4716,0.0037
0400000US38,38,North Dakota,0.4448,0.0101
0400000US39,39,Ohio,0.4594,0.0027
0400000US40,40,Oklahoma,0.4613,0.0042
0400000US41,41,Oregon,0.4586,0.0069
0400000US42,42,Pennsylvania,0.4611,0.0024
0400000US44,44,Rhode Island,0.4674,0.0111
0400000US45,45,South Carolina,0.4648,0.0052
0400000US46,46,South Dakota,0.4324,0.0095
0400000US47,47,Tennessee,0.4756,0.0047
0400000US48,48,Texas,0.4771,0.0029
0400000US49,49,Utah,0.4249,0.0069
0400000US50,50,Vermont,0.4308,0.0098
0400000US51,51,Virginia,0.4632,0.0035
0400000US53,53,Washington,0.4449,0.0036
0400000US54,54,West Virginia,0.4721,0.0089
0400000US55,55,Wisconsin,0.4370,0.0038
0400000US56,56,Wyoming,0.4081,0.0124
0400000US72,72,Puerto Rico,0.5310,0.0061
