GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4752,0.0039
0400000US02,02,Alaska,0.4083,0.0103
0400000US04,04,Arizona,0.4681,0.0050
0400000US05,05,Arkansas,0.4685,0.0077
0400000US06,06,California,0.4903,0.0018
0400000US08,08,Colorado,0.4614,0.0043
0400000US09,09,Connecticut,0.4994,0.0054
0400000US10,10,Delaware,0.4513,0.0098
0400000US11,11,District of Columbia,0.5320,0.0119
0400000US12,12,Florida,0.4843,0.0028
0400000US13,13,Georgia,0.4837,0.0035
0400000US15,15,Hawaii,0.4400,0.0087
0400000US16,16,Idaho,0.4376,0.0080
0400000US17,17,Illinois,0.4824,0.0031
0400000US18,18,Indiana,0.4554,0.0053
0400000US19,19,Iowa,0.4429,0.0053
0400000US20,20,Kansas,0.4589,0.0088
0400000US21,21,Kentucky,0.4721,0.0068
0400000US22,22,Louisiana,0.4914,0.0047
0400000US23,23,Maine,0.4532,0.0074
0400000US24,24,Maryland,0.4555,0.0041
0400000US25,25,Massachusetts,0.4837,0.0036
0400000US26,26,Michigan,0.4641,0.0029
0400000US27,27,Minnesota,0.4462,0.0035
0400000US28,28,Mississippi,0.4791,0.0061
0400000US29,29,Missouri,0.4605,0.0043
0400000US30,30,Montana,0.4620,0.0086
0400000US31,31,Nebraska,0.4445,0.0061
0400000US32,32,Nevada,0.4543,0.0078
0400000US33,33,New Hampshire,0.4387,0.0085
0400000US34,34,New Jersey,0.4800,0.0028
0400000US35,35,New Mexico,0.4759,0.0064
0400000US36,36,New York,0.5098,0.0035
0400000US37,37,North Carolina,0.4765,0.0036
0400000US38,38,North Dakota,0.4550,0.0086
0400000US39,39,Ohio,0.4652,0.0031
0400000US40,40,Oklahoma,0.4619,0.0048
0400000US41,41,Oregon,0.4600,0.0059
0400000US42,42,Pennsylvania,0.4696,0.0025
0400000US44,44,Rhode Island,0.4769,0.0107
0400000US45,45,South Carolina,0.4665,0.0044
0400000US46,46,South Dakota,0.4427,0.0085
0400000US47,47,Tennessee,0.4783,0.0042
0400000US48,48,Texas,0.4807,0.0026
0400000US49,49,Utah,0.4259,0.0057
0400000US50,50,Vermont,0.4537,0.0127
0400000US51,51,Virginia,0.4672,0.0031
0400000US53,53,Washington,0.4572,0.0036
0400000US54,54,West Virginia,0.4647,0.0073
0400000US55,55,Wisconsin,0.4446,0.0034
0400000US56,56,Wyoming,0.4183,0.0120
0400000US72,72,Puerto Rico,0.5470,0.0072
